sample,pH,Salinity,TOC,Sulfide,TN,TP,Cd,Fe,Ni,mainVariable1,mainVariable2,mainVariable3
M1A,6.8900 ,30.0000 ,36.1000 ,41.8000 ,2.1000 ,0.0430 ,0.2240 ,149.3495 ,17.8416 ,M,A,D
M1B,6.8700 ,26.0000 ,23.3000 ,27.1000 ,0.1640 ,0.1260 ,0.1490 ,93.1015 ,17.9814 ,M,B,D
M1C,6.8700 ,26.0000 ,11.0000 ,13.5000 ,0.3190 ,0.0480 ,0.1060 ,128.4895 ,15.1943 ,M,C,D
M1D,6.9000 ,27.0000 ,22.7000 ,9.6800 ,0.2010 ,0.0730 ,0.0750 ,74.5345 ,22.5404 ,M,D,D
M2A,6.5500 ,29.0000 ,13.2000 ,5.2500 ,0.1990 ,0.0900 ,0.2770 ,128.1815 ,16.3161 ,M,A,D
M2B,6.6600 ,27.0000 ,17.8000 ,15.6000 ,0.1730 ,0.0710 ,0.0720 ,94.3185 ,11.2447 ,M,B,D
M2C,6.9500 ,27.0000 ,21.8000 ,10.1000 ,1.2000 ,0.0720 ,0.0710 ,111.0135 ,14.6999 ,M,C,D
M2D,6.8200 ,27.0000 ,13.8000 ,19.8000 ,0.1430 ,0.0420 ,0.0750 ,74.3055 ,22.3317 ,M,D,D
M3A,6.4900 ,30.0000 ,24.3000 ,85.4000 ,0.2490 ,0.1190 ,0.1570 ,152.9035 ,17.4743 ,M,A,D
M3B,6.7100 ,27.0000 ,19.6000 ,77.6000 ,0.3080 ,0.0140 ,0.2070 ,115.8415 ,14.6998 ,M,B,D
M3C,7.0000 ,26.0000 ,19.0000 ,8.8400 ,0.2250 ,0.0170 ,0.0710 ,111.5885 ,16.8224 ,M,C,D
M3D,6.7600 ,27.0000 ,16.3000 ,18.2000 ,0.3060 ,0.0140 ,0.0770 ,97.8925 ,25.6558 ,M,D,D
N1A,6.9800 ,29.0000 ,10.0000 ,45.7000 ,0.1770 ,0.0050 ,0.1030 ,111.4055 ,13.1031 ,N,A,D
N1B,7.0600 ,25.0000 ,10.0000 ,36.4000 ,0.3660 ,0.0300 ,0.0860 ,76.8535 ,16.8424 ,N,B,D
N1C,7.0600 ,26.0000 ,16.5000 ,11.8000 ,0.1510 ,0.0170 ,0.0890 ,72.0665 ,14.1625 ,N,C,D
N1D,7.0000 ,28.0000 ,18.9000 ,21.2000 ,0.6540 ,0.0170 ,0.0760 ,62.9325 ,21.6216 ,N,D,D
N2A,6.6900 ,29.0000 ,9.0000 ,49.6000 ,0.4610 ,0.0240 ,0.1040 ,136.7795 ,13.7801 ,N,A,D
N2B,6.9500 ,25.0000 ,12.4000 ,25.6000 ,0.3160 ,0.0200 ,0.0960 ,82.6815 ,16.0226 ,N,B,D
N2C,6.9400 ,26.0000 ,15.0000 ,19.3000 ,0.6880 ,0.0670 ,0.0890 ,59.4335 ,15.4702 ,N,C,D
N2D,7.0600 ,26.0000 ,17.6000 ,28.4000 ,0.5160 ,0.0350 ,0.0720 ,65.1545 ,18.2563 ,N,D,D
N3A,6.9400 ,28.0000 ,9.9000 ,33.1000 ,0.3230 ,0.0110 ,0.1130 ,127.4575 ,10.1621 ,N,A,D
N3B,7.0600 ,25.0000 ,12.4000 ,11.3000 ,0.0830 ,0.0450 ,0.1100 ,67.8205 ,18.6671 ,N,B,D
N3C,7.0600 ,26.0000 ,17.1000 ,4.7100 ,0.6150 ,0.0110 ,0.0850 ,68.9015 ,14.4231 ,N,C,D
