qseqid	sseqid	identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	aro_accession	ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	vfw1	vfw2	vfw3	vfw4	vfw5	vfw6	vfw7	vfw8	vfw9	vfd1	vfd2	vfd3	vfd4	vfd5	vfd6	vfd7	vfd8	vfd9	spw1	spw2	spw3	spw4	spw5	spw6	spw7	spw8	spw9	spd1	spd2	spd3	spd4	spd5	spd6	spd7	spd8	spd9	kingdom	phylum	class	order	family	genus	species
seq_07167126	gb|WP_102607457.1|ARO:3004361|sul4	61.0	195	76	0	92	286	5	199	2.2e-67	260.4	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057254	0.0	0.078051	0.0	0.332824	0.0	0.0	0.0	0.0	0.0	0.0	0.182306	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__unknown	s__Anaerolineaceae bacterium
seq_00861609	gb|WP_102607457.1|ARO:3004361|sul4	69.2	273	84	0	14	286	1	273	1.4999999999999999e-105	387.1	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.311669	0.134181	0.182823	0.0	0.18849	0.126797	0.068414	0.0	0.0	0.057843	0.159503	0.0	0.05125	0.452937	0.251857	0.383311	0.115948	0.208105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__unknown	f__unknown	g__unknown	s__Anaerolineae bacterium SG8_19
seq_10630389	gb|WP_102607457.1|ARO:3004361|sul4	61.9	223	84	1	65	286	1	223	1.8e-77	293.9	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.176531	0.058748	0.219369	0.077974	0.0	0.0	0.0	0.0	0.0	0.235846	0.0	0.0	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__unknown	f__unknown	g__unknown	s__Anaerolineae bacterium CG03_land_8_20_14_0_80_58_20
seq_00911585	gb|WP_102607457.1|ARO:3004361|sul4	62.0	192	73	0	96	287	1	192	1.9e-63	247.3	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.321365	0.0	0.060312	0.0	0.0	0.0	0.0	0.0	0.0	0.216265	0.0	0.222678	0.172446	0.638208	0.281796	0.145051	0.0	0.0	0.0	0.123987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Chloroflexi	c__unknown	o__unknown	f__unknown	g__unknown	s__Chloroflexi bacterium
seq_01379801	gb|WP_102607457.1|ARO:3004361|sul4	67.8	171	55	0	116	286	2	172	1.9e-63	247.3	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.098844	0.0	0.154268	0.0	0.198004	0.0	0.0	0.0	0.0	0.135519	0.0	0.0	0.0	0.0	0.352698	0.548594	0.0	0.246711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261564	0.0	0.0	0.0	0.108331	0.0	0.0	0.0	0.0	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Levilinea	s__Levilinea saccharolytica
seq_05778025	gb|WP_102607457.1|ARO:3004361|sul4	61.0	195	76	0	92	286	6	200	1.7e-67	260.8	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.0	0.0	0.0	0.0	0.0	0.104824	0.227456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.388341	0.0	0.0	0.0	0.0	0.083206	0.0	0.0	0.0	0.0	0.088052	0.0	0.091153	0.157848	0.0	0.0	0.0	0.0	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__unknown	f__unknown	g__unknown	s__Anaerolineae bacterium CG03_land_8_20_14_0_80_58_20
seq_07341146	gb|WP_102607457.1|ARO:3004361|sul4	60.6	213	84	0	8	220	2	214	4.7e-70	269.2	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.138349	0.0	0.665972	0.0	0.0	0.059547	0.084858	0.078073	0.0	0.0	0.0	0.0	0.128523	0.0	0.387803	d__Bacteria	p__Chloroflexi	c__unknown	o__unknown	f__unknown	g__unknown	s__Chloroflexi bacterium
seq_06077783	gb|WP_102607457.1|ARO:3004361|sul4	60.2	289	107	1	7	287	12	300	1.6999999999999998e-96	357.1	ARO:3004361	ARO:3004361	41534	5844	2875	sul4	sul4	WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	0.0	0.038979	0.0	0.0	0.095651	0.0	0.059623	0.068675	0.0	0.0	0.229498	0.0	0.044266	0.146919	0.0	0.09936	0.0	0.134949	0.099017	0.467978	0.243797	0.182346	0.0	0.084977	0.0	0.0	0.03409	0.0	0.22173	0.191262	0.228117	0.195779	0.0	0.072069	0.0	0.0	d__Bacteria	p__Chloroflexi	c__unknown	o__unknown	f__unknown	g__unknown	s__Chloroflexi bacterium
seq_09956788	gb|AAC75089.1|ARO:3003577|ugd	79.9	184	37	0	137	320	1	184	5.2e-80	302.8	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155177	0.0	0.119627	0.0	0.123326	0.0	0.0	0.207689	0.160862	0.0	0.434483	0.154652	0.068341	0.16238	0.0	0.0	0.0	0.0	0.0	0.0	0.115285	0.105671	0.0	0.328949	0.857289	0.153038	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio harveyi group
seq_00532762	gb|AAC75089.1|ARO:3003577|ugd	63.2	310	94	3	78	367	1	310	4.2e-106	389.4	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06651	0.09623	0.087375	0.0	0.263032	0.04664	0.124678	0.031532	0.0	0.08567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp. An187
seq_02946313	gb|AAC75089.1|ARO:3003577|ugd	63.6	308	93	2	37	325	2	309	2.5e-106	390.2	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.351069	0.0	0.022255	0.0	0.0	0.033076	0.201366	0.048158	0.0	0.0	0.085096	0.047089	0.041956	0.0	0.096384	0.0	0.03176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037638	0.0	0.0	0.0	0.168358	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp. An176
seq_11222954	gb|AAC75089.1|ARO:3003577|ugd	68.5	387	122	0	2	388	4	390	5.8e-156	555.1	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86419	d__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter skirrowii
seq_00058308	gb|AAC75089.1|ARO:3003577|ugd	63.6	297	105	1	1	294	42	338	7.4e-103	378.6	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.130616	0.057683	0.0	0.0	0.057869	0.046706	0.0	0.045902	0.146855	0.376718	0.038331	0.0	0.088929	0.0	0.036547	0.13165	0.0	0.037625	0.0	0.0	0.029256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. CAG:230
