ARO Term,Human accessibility,Mobility,Human pathogenicity,Clinical availability,risk,Rank,ARG Class
tolC,13.60416385,24,0.940822931,7649.01933,2349615.229,Q1,Multidrug
OprM,0.620700258,3,0.977464789,7648.760966,13921.80003,Q1,Multidrug
Pseudomonas aeruginosa CpxR,1.312462482,0,0.997150997,7648.760966,0,RI=0,Multidrug
mexY,0.401472867,7,0.971751412,7633.592105,20846.75055,Q1,Multidrug
mexX,0.008784836,0,0,7633.592105,0,RI=0,Multidrug
MexD,0.664040494,4,0.966386555,7615.279303,19547.50219,Q1,Multidrug
MexC,0.084871194,3,0.985754986,7615.279303,1911.333121,Q1,Multidrug
OprJ,0.03170691,2,0.979710145,7615.279303,473.1157016,Q2,Multidrug
MexB,1.698301469,3,0.991643454,7592.655703,38360.59159,Q1,Multidrug
MexA,0.341450417,3,0.994236311,7592.655703,7732.719022,Q1,Multidrug
ArmR,0.011831675,0,0.6,7592.655703,0,RI=0,Multidrug
H-NS,12.29990636,54,0.902070064,7546.276316,4521354.285,Q1,Multidrug
Klebsiella pneumoniae KpnG,1.085620916,0,0.779423227,6945.067283,0,RI=0,Multidrug
Klebsiella pneumoniae KpnH,4.71610326,0,0.650701899,6945.067283,0,RI=0,Multidrug
marA,11.80946333,85,0.839322286,6712.207037,5655137.727,Q1,Multidrug
ramA,0.242727741,16,0.190348525,6712.207037,4961.971406,Q1,Multidrug
acrB,12.21887383,83,0.835055351,6690.358447,5665965.453,Q1,Multidrug
acrS,12.8962747,48,0.973359645,6690.358447,4031143.289,Q1,Multidrug
sdiA,0.167790549,15,0.995210728,6690.358447,16758.03871,Q1,Multidrug
Pseudomonas aeruginosa soxR,0.321922683,0,0.847457627,6690.358447,0,RI=0,Multidrug
Escherichia coli acrA,11.72014571,0,0.960892236,6690.358447,0,RI=0,Multidrug
Enterobacter cloacae acrA,0.302437938,0,0.265306122,6690.358447,0,RI=0,Multidrug
Klebsiella pneumoniae acrA,0.815559368,0,0.992134831,6690.358447,0,RI=0,Multidrug
mgrA,3.006612592,10,0.953259533,6687.013158,191655.2881,Q1,Multidrug
evgS,9.94102973,67,0.972208679,6541.868421,4236112.387,Q1,Multidrug
evgA,10.66195732,52,0.975897688,6541.868421,3539536.356,Q1,Multidrug
acrF,12.51104901,64,0.938727783,5987.263158,4500302.613,Q1,Multidrug
acrE,12.81384796,57,0.965947242,5987.263158,4224119.309,Q1,Multidrug
CRP,17.78753558,43,0.745207903,5852.894737,3336048.862,Q1,Multidrug
mdtE,13.49904955,38,0.963959635,5852.894737,2894118.771,Q1,Multidrug
mdtF,13.09669008,40,0.936249418,5852.894737,2870673.606,Q1,Multidrug
gadX,12.68852625,26,0.972413793,5852.894737,1877614.171,Q1,Multidrug
gadW,13.84566309,21,0.979180658,5852.894737,1666351.413,Q1,Multidrug
smeB,1.36457877,1,0.89380531,5306.368421,6472.006436,Q1,Multidrug
smeS,0.233249866,1,0.833333333,5306.368421,1031.424768,Q1,Multidrug
smeC,0.286712963,0,1,5306.368421,0,RI=0,Multidrug
smeR,0.620875684,0,0.900900901,5306.368421,0,RI=0,Multidrug
smeA,0.217420751,0,1,5306.368421,0,RI=0,Multidrug
mdsB,0.087716855,7,0.978982301,5283.295958,3175.856499,Q1,Multidrug
mdsC,0.001003756,11,0.997979798,5283.295958,58.21669201,Q2,Multidrug
golS,0.000149089,3,0.992256637,5283.295958,2.344751784,Q3,Multidrug
mdsA,0.000108026,0,1,5283.295958,0,RI=0,Multidrug
PER-2,0.023195175,3,0.25,5272.111748,91.71566492,Q2,Beta-lactams
Klebsiella pneumoniae OmpK37,2.10952446,0,0.768860353,5272.111748,0,RI=0,Beta-lactams
Burkholderia pseudomallei Omp38,0.00048741,0,0.805263158,5272.111748,0,RI=0,Beta-lactams
PER-6,0.041845425,0,0,5272.111748,0,RI=0,Beta-lactams
